"","Program","Year","Period","State","State.ANSI","Strawberries","items","discription","units","measurement","dname","type","Domain.Category","title","Pesticide","Number","Value","CV....","Pesticide_old","Carcinogen","Hormone.Disruptor","Neurotoxins","Developmental.or.Reproductive.Toxins","Bee.Toxins"
"63","CENSUS",2016,"YEAR","FLORIDA",12,"STRAWBERRIES"," ORGANIC"," FRESH MARKET - SALES"," MEASURED IN CWT","MEASURED IN CWT","ORGANIC STATUS",NA,"ORGANIC STATUS: (NOP USDA CERTIFIED)"," ",NA,NA," (D)","(D)",NA,NA,NA,NA,NA,NA
"64","CENSUS",2016,"YEAR","FLORIDA",12,"STRAWBERRIES"," ORGANIC"," PROCESSING - OPERATIONS WITH SALES",NA,NA,"ORGANIC STATUS",NA,"ORGANIC STATUS: (NOP USDA CERTIFIED)"," ",NA,NA,"2","38.5",NA,NA,NA,NA,NA,NA
"65","CENSUS",2016,"YEAR","FLORIDA",12,"STRAWBERRIES"," ORGANIC"," PROCESSING - SALES"," MEASURED IN $","MEASURED IN $","ORGANIC STATUS",NA,"ORGANIC STATUS: (NOP USDA CERTIFIED)"," ",NA,NA," (D)","(D)",NA,NA,NA,NA,NA,NA
"66","CENSUS",2016,"YEAR","FLORIDA",12,"STRAWBERRIES"," ORGANIC"," PROCESSING - SALES"," MEASURED IN CWT","MEASURED IN CWT","ORGANIC STATUS",NA,"ORGANIC STATUS: (NOP USDA CERTIFIED)"," ",NA,NA," (D)","(D)",NA,NA,NA,NA,NA,NA
"67","CENSUS",2016,"YEAR","NEW YORK",36,"STRAWBERRIES"," ORGANIC - OPERATIONS WITH SALES",NA,NA,NA,"ORGANIC STATUS",NA,"ORGANIC STATUS: (NOP USDA CERTIFIED)"," ",NA,NA,"32","11.9",NA,NA,NA,NA,NA,NA
"68","CENSUS",2016,"YEAR","NEW YORK",36,"STRAWBERRIES"," ORGANIC - SALES"," MEASURED IN $",NA,"MEASURED IN $","ORGANIC STATUS",NA,"ORGANIC STATUS: (NOP USDA CERTIFIED)"," ",NA,NA,"459,144","22.7",NA,NA,NA,NA,NA,NA
"69","CENSUS",2016,"YEAR","NEW YORK",36,"STRAWBERRIES"," ORGANIC - SALES"," MEASURED IN CWT",NA,"MEASURED IN CWT","ORGANIC STATUS",NA,"ORGANIC STATUS: (NOP USDA CERTIFIED)"," ",NA,NA,"1,012","19.6",NA,NA,NA,NA,NA,NA
"70","CENSUS",2016,"YEAR","NEW YORK",36,"STRAWBERRIES"," ORGANIC"," FRESH MARKET - OPERATIONS WITH SALES",NA,NA,"ORGANIC STATUS",NA,"ORGANIC STATUS: (NOP USDA CERTIFIED)"," ",NA,NA,"32","11.9",NA,NA,NA,NA,NA,NA
"71","CENSUS",2016,"YEAR","NEW YORK",36,"STRAWBERRIES"," ORGANIC"," FRESH MARKET - SALES"," MEASURED IN $","MEASURED IN $","ORGANIC STATUS",NA,"ORGANIC STATUS: (NOP USDA CERTIFIED)"," ",NA,NA," (D)","(D)",NA,NA,NA,NA,NA,NA
"72","CENSUS",2016,"YEAR","NEW YORK",36,"STRAWBERRIES"," ORGANIC"," FRESH MARKET - SALES"," MEASURED IN CWT","MEASURED IN CWT","ORGANIC STATUS",NA,"ORGANIC STATUS: (NOP USDA CERTIFIED)"," ",NA,NA," (D)","(D)",NA,NA,NA,NA,NA,NA
"73","CENSUS",2016,"YEAR","NEW YORK",36,"STRAWBERRIES"," ORGANIC"," PROCESSING - OPERATIONS WITH SALES",NA,NA,"ORGANIC STATUS",NA,"ORGANIC STATUS: (NOP USDA CERTIFIED)"," ",NA,NA,"1","(H)",NA,NA,NA,NA,NA,NA
"74","CENSUS",2016,"YEAR","NEW YORK",36,"STRAWBERRIES"," ORGANIC"," PROCESSING - SALES"," MEASURED IN $","MEASURED IN $","ORGANIC STATUS",NA,"ORGANIC STATUS: (NOP USDA CERTIFIED)"," ",NA,NA," (D)","(D)",NA,NA,NA,NA,NA,NA
"75","CENSUS",2016,"YEAR","NEW YORK",36,"STRAWBERRIES"," ORGANIC"," PROCESSING - SALES"," MEASURED IN CWT","MEASURED IN CWT","ORGANIC STATUS",NA,"ORGANIC STATUS: (NOP USDA CERTIFIED)"," ",NA,NA," (D)","(D)",NA,NA,NA,NA,NA,NA
"76","CENSUS",2016,"YEAR","NORTH CAROLINA",37,"STRAWBERRIES"," ORGANIC - OPERATIONS WITH SALES",NA,NA,NA,"ORGANIC STATUS",NA,"ORGANIC STATUS: (NOP USDA CERTIFIED)"," ",NA,NA,"10","13.6",NA,NA,NA,NA,NA,NA
"77","CENSUS",2016,"YEAR","NORTH CAROLINA",37,"STRAWBERRIES"," ORGANIC - SALES"," MEASURED IN $",NA,"MEASURED IN $","ORGANIC STATUS",NA,"ORGANIC STATUS: (NOP USDA CERTIFIED)"," ",NA,NA,"358,487","23.1",NA,NA,NA,NA,NA,NA
"78","CENSUS",2016,"YEAR","NORTH CAROLINA",37,"STRAWBERRIES"," ORGANIC - SALES"," MEASURED IN CWT",NA,"MEASURED IN CWT","ORGANIC STATUS",NA,"ORGANIC STATUS: (NOP USDA CERTIFIED)"," ",NA,NA,"1,308","25",NA,NA,NA,NA,NA,NA
"79","CENSUS",2016,"YEAR","NORTH CAROLINA",37,"STRAWBERRIES"," ORGANIC"," FRESH MARKET - OPERATIONS WITH SALES",NA,NA,"ORGANIC STATUS",NA,"ORGANIC STATUS: (NOP USDA CERTIFIED)"," ",NA,NA,"10","13.6",NA,NA,NA,NA,NA,NA
"80","CENSUS",2016,"YEAR","NORTH CAROLINA",37,"STRAWBERRIES"," ORGANIC"," FRESH MARKET - SALES"," MEASURED IN $","MEASURED IN $","ORGANIC STATUS",NA,"ORGANIC STATUS: (NOP USDA CERTIFIED)"," ",NA,NA,"358,487","23.2",NA,NA,NA,NA,NA,NA
"81","CENSUS",2016,"YEAR","NORTH CAROLINA",37,"STRAWBERRIES"," ORGANIC"," FRESH MARKET - SALES"," MEASURED IN CWT","MEASURED IN CWT","ORGANIC STATUS",NA,"ORGANIC STATUS: (NOP USDA CERTIFIED)"," ",NA,NA,"1,308","25.1",NA,NA,NA,NA,NA,NA
"82","CENSUS",2016,"YEAR","OREGON",41,"STRAWBERRIES"," ORGANIC - OPERATIONS WITH SALES",NA,NA,NA,"ORGANIC STATUS",NA,"ORGANIC STATUS: (NOP USDA CERTIFIED)"," ",NA,NA,"25","9.2",NA,NA,NA,NA,NA,NA
"83","CENSUS",2016,"YEAR","OREGON",41,"STRAWBERRIES"," ORGANIC - SALES"," MEASURED IN $",NA,"MEASURED IN $","ORGANIC STATUS",NA,"ORGANIC STATUS: (NOP USDA CERTIFIED)"," ",NA,NA,"1,752,592","25.4",NA,NA,NA,NA,NA,NA
"84","CENSUS",2016,"YEAR","OREGON",41,"STRAWBERRIES"," ORGANIC - SALES"," MEASURED IN CWT",NA,"MEASURED IN CWT","ORGANIC STATUS",NA,"ORGANIC STATUS: (NOP USDA CERTIFIED)"," ",NA,NA,"5,832","24.7",NA,NA,NA,NA,NA,NA
"85","CENSUS",2016,"YEAR","OREGON",41,"STRAWBERRIES"," ORGANIC"," FRESH MARKET - OPERATIONS WITH SALES",NA,NA,"ORGANIC STATUS",NA,"ORGANIC STATUS: (NOP USDA CERTIFIED)"," ",NA,NA,"23","9",NA,NA,NA,NA,NA,NA
"86","CENSUS",2016,"YEAR","OREGON",41,"STRAWBERRIES"," ORGANIC"," FRESH MARKET - SALES"," MEASURED IN $","MEASURED IN $","ORGANIC STATUS",NA,"ORGANIC STATUS: (NOP USDA CERTIFIED)"," ",NA,NA," (D)","(D)",NA,NA,NA,NA,NA,NA
"87","CENSUS",2016,"YEAR","OREGON",41,"STRAWBERRIES"," ORGANIC"," FRESH MARKET - SALES"," MEASURED IN CWT","MEASURED IN CWT","ORGANIC STATUS",NA,"ORGANIC STATUS: (NOP USDA CERTIFIED)"," ",NA,NA,"1,980","12.2",NA,NA,NA,NA,NA,NA
"88","CENSUS",2016,"YEAR","OREGON",41,"STRAWBERRIES"," ORGANIC"," PROCESSING - OPERATIONS WITH SALES",NA,NA,"ORGANIC STATUS",NA,"ORGANIC STATUS: (NOP USDA CERTIFIED)"," ",NA,NA,"6","33.5",NA,NA,NA,NA,NA,NA
